iter	Passed	Remaining
684	5072	2332
685	5080	2325
686	5098	2323
687	5107	2316
688	5114	2308
689	5120	2300
690	5128	2293
691	5136	2285
692	5141	2277
693	5148	2270
694	5156	2262
695	5162	2255
696	5170	2247
697	5179	2241
698	5187	2233
699	5193	2225
700	5199	2217
701	5208	2210
702	5214	2202
703	5222	2195
704	5229	2188
705	5236	2180
706	5243	2172
707	5251	2165
708	5259	2158
709	5266	2150
710	5273	2143
711	5280	2136
712	5286	2127
713	5293	2120
714	5299	2112
715	5307	2105
716	5313	2097
717	5319	2089
718	5327	2081
719	5333	2074
720	5339	2066
721	5345	2058
722	5353	2051
723	5361	2043
724	5368	2036
725	5376	2029
726	5382	2021
727	5388	2013
728	5395	2005
729	5401	1997
730	5408	1990
731	5415	1982
732	5422	1975
733	5428	1967
734	5434	1959
735	5441	1952
736	5449	1944
737	5456	1936
738	5462	1929
739	5469	1921
740	5476	1914
741	5483	1906
742	5489	1898
743	5496	1891
744	5503	1883
745	5508	1875
746	5514	1867
747	5522	1860
748	5528	1852
749	5535	1845
750	5543	1837
751	5550	1830
752	5555	1822
753	5561	1814
754	5568	1807
755	5575	1799
756	5582	1791
757	5588	1784
758	5595	1776
759	5602	1769
760	5608	1761
761	5614	1753
762	5621	1746
763	5627	1738
764	5633	1730
765	5639	1722
766	5646	1715
767	5652	1707
768	5658	1699
769	5665	1692
770	5671	1684
771	5679	1677
772	5686	1669
773	5692	1662
774	5698	1654
775	5706	1647
776	5713	1639
777	5719	1632
778	5726	1624
779	5732	1616
780	5738	1609
781	5744	1601
782	5751	1594
783	5758	1586
784	5765	1579
785	5772	1571
786	5778	1563
787	5784	1556
788	5790	1548
789	5798	1541
790	5804	1533
791	5812	1526
792	5818	1518
793	5824	1511
794	5831	1503
795	5837	1496
796	5845	1488
797	5851	1481
798	5859	1474
799	5867	1466
800	5873	1459
801	5880	1451
802	5887	1444
803	5895	1437
804	5902	1429
805	5909	1422
806	5916	1414
807	5923	1407
808	5929	1399
809	5936	1392
810	5942	1384
811	5948	1377
812	5955	1369
813	5963	1362
814	5969	1355
815	5976	1347
816	5983	1340
817	5989	1332
818	5998	1325
819	6006	1318
820	6014	1311
821	6020	1303
822	6026	1296
823	6033	1288
824	6039	1281
825	6044	1273
826	6051	1265
827	6059	1258
828	6065	1251
829	6072	1243
830	6078	1236
831	6086	1228
832	6093	1221
833	6099	1214
834	6107	1206
835	6114	1199
836	6121	1192
837	6127	1184
838	6135	1177
839	6142	1170
840	6165	1165
841	6172	1158
842	6180	1151
843	6189	1144
844	6198	1137
845	6212	1130
846	6225	1124
847	6232	1117
848	6238	1109
849	6248	1102
850	6264	1096
851	6271	1089
852	6277	1081
853	6284	1074
854	6292	1067
855	6299	1059
856	6307	1052
857	6313	1044
858	6321	1037
859	6329	1030
860	6336	1023
861	6342	1015
862	6349	1008
863	6357	1000
864	6363	993
865	6370	985
866	6376	978
867	6383	970
868	6389	963
869	6395	955
870	6402	948
871	6408	940
872	6416	933
873	6422	925
874	6429	918
875	6436	911
876	6442	903
877	6449	896
878	6457	888
879	6463	881
880	6469	873
881	6476	866
882	6483	859
883	6489	851
884	6496	844
885	6503	836
886	6509	829
887	6516	821
888	6523	814
889	6530	807
890	6537	799
891	6544	792
892	6552	785
893	6558	777
894	6565	770
895	6572	762
896	6578	755
897	6585	748
898	6592	740
899	6599	733
900	6606	725
901	6611	718
902	6618	710
903	6626	703
904	6632	696
905	6639	688
906	6647	681
907	6653	674
908	6659	666
909	6666	659
910	6674	652
911	6680	644
912	6686	637
913	6693	629
914	6700	622
915	6706	614
916	6712	607
917	6719	600
918	6726	592
919	6733	585
920	6741	578
921	6749	570
922	6755	563
923	6763	556
924	6771	549
925	6777	541
926	6784	534
927	6793	527
928	6800	519
929	6806	512
930	6813	504
931	6819	497
932	6826	490
933	6834	482
934	6843	475
935	6850	468
936	6856	461
937	6862	453
938	6868	446
939	6876	438
940	6883	431
941	6890	424
942	6897	416
943	6903	409
944	6909	402
945	6916	394
946	6922	387
947	6929	380
948	6936	372
949	6943	365
950	6950	358
951	6958	350
952	6964	343
953	6970	336
954	6978	328
955	6985	321
956	6993	314
957	6999	306
958	7005	299
959	7011	292
